,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine_CC,Power_bhp,Seats,Price_Lakh,Manufacturer
0,10,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1.75,Maruti
1,5,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.5,Hyundai
2,9,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4.5,Honda
3,8,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.0,Maruti
4,7,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17.74,Audi
5,8,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2.35,Hyundai
6,7,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.5,Nissan
7,4,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17.5,Toyota
8,7,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5.2,Volkswagen
9,8,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1.95,Tata
10,2,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9.95,Maruti
11,8,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4.49,Honda
12,5,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5.6,Maruti
13,6,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27.0,Land
14,8,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17.5,Land
15,6,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15.0,Mitsubishi
16,4,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.4,Honda
17,3,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5.99,Maruti
18,6,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.34,Renault
19,6,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28.0,Mercedes-Benz
20,6,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18.55,BMW
21,5,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8.25,Maruti
22,5,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23.5,Audi
23,10,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1.87,Hyundai
24,10,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2.85,Volkswagen
25,8,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4.25,Honda
26,8,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4.25,Nissan
27,7,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2.75,Maruti
28,2,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9.9,Honda
29,13,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4.0,Toyota
30,7,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7.75,Renault
31,8,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6.75,Toyota
32,7,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12.5,Mahindra
33,10,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,Audi
34,6,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,Volkswagen
35,11,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,Maruti
36,2,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,Maruti
37,3,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,Mahindra
38,7,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,Mercedes-Benz
39,7,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,Volkswagen
40,12,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,Maruti
41,6,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,Tata
42,3,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,Mahindra
43,6,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,Hyundai
44,6,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,Hyundai
45,4,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,Toyota
46,12,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,Hyundai
47,8,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,Toyota
48,6,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,Hyundai
49,8,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,Mahindra
50,5,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,Audi
51,6,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,Maruti
52,6,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,Maruti
53,7,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,Maruti
54,5,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,Hyundai
55,5,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,Volkswagen
56,3,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,Renault
57,10,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,Hyundai
58,10,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,Nissan
59,10,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,Maruti
60,3,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,Toyota
61,10,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,Ford
62,5,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,Mercedes-Benz
63,9,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,Mercedes-Benz
64,4,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,Tata
65,8,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,Audi
66,13,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,Honda
67,1,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35.67,Mercedes-Benz
68,4,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,Maruti
69,2,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,Hyundai
70,12,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,Porsche
71,5,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,Mahindra
72,8,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,Hyundai
73,5,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,Nissan
74,4,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,Honda
75,6,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,Audi
76,12,111111,Diesel,Manual,First,17.8,1399.0,113.25304969366827,5.0,2.0,Ford
77,14,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,Toyota
78,8,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,Toyota
79,15,87591,Petrol,Manual,First,0.0,1086.0,113.25304969366827,5.0,1.3,Hyundai
80,8,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,Maruti
81,3,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,Tata
82,4,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,Honda
83,8,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,Ford
84,7,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,Maruti
85,11,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,Honda
86,9,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,BMW
87,11,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,Hyundai
88,4,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,Hyundai
89,13,73745,Petrol,Manual,First,17.0,1086.0,113.25304969366827,5.0,2.1,Hyundai
90,4,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,Honda
91,6,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,Toyota
92,2,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,Audi
93,7,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,Ford
94,6,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,Mahindra
95,5,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,Honda
96,7,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,Volkswagen
97,10,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,Hyundai
